"Штрих-код";"Кількість";"Ціна_роздрібна";"Ціна_опту";"Назва_позиції"
"4823591602776";420;50;25;"Примач на двері пластик код. 0277 (арт. 35916-XY-0901)"
"4823591602806";419;50;24;"Примач на двері пластик код. 0280 (арт. 35916-XY-0912)"
"4823591602899";477;80;43;"Прозора наліпка силікон код. 0289 (арт. 35916-S-10863)"
"4825020801231";275;150;100;"Розпилювач для олії  скло,  КОД: 0123  (арт.) Y27-J001"
"4825020801507";3;220;162;"Розсувна корзинка для раковин прозора  PET(46.5*20.5*36) PET пластик  код. 0150 (арт. X51-8129 )"
"4825020800623";137;110;87;"Рушляк з основою квадратний великий PET (25*12.5) PET пластик код. 0062 (арт. X10-XQ-0087 )"
"4823688000072";813;125;75;"Серветки 100% бав. (тканина) 50 шт. Віскоза код. 05001  (арт. ) 36880-TDC07"
"4823688000010";1117;180;120;"Серветки 100% бав. (тканина) 70 шт. Віскоза код. 07001 (арт. ) 36880-LYXC001"
"4823603102492";95;80;70;"Таймер пластик код. 0249 (арт. 36031-194-1)"
"4823603102508";168;80;70;"Таймер пластик код. 0250 (арт. 36031-261)"
"4825020800791";54;200;145;"Тарілка 6 шт.  PET (22.5*20.5*10) PET пластик код. 0079 (арт. X10-6531 )"
"4821746505088";100;400;250;"Акумуляторна чаша для змішування  РЕТ пластик  КОД:  0508  (арт.)"
"4823511405623";93;300;200;"Баночка (2 шари), одинарний 9X6 см, високе боросилікатне скло  Скло бамбук  КОД:  0562  (арт.) 5249"
"4823511405548";238;180;110;"Баночка з бамбуковою кришкою O110*100  Скло бамбук  КОД:  0554  (арт.) 4193"
"4823511405555";224;200;130;"Баночка з бамбуковою кришкою O110*150  Скло бамбук  КОД:  0555  (арт.) 4195"
"4823511405562";212;220;140;"Баночка з бамбуковою кришкою O110*200  Скло бамбук  КОД:  0556  (арт.) 4196"
"4823511405579";73;160;100;"Баночка з бамбуковою кришкою, 450 мл, боросилікатне скло  Скло бамбук  КОД:  0557  (арт.) 693"
"4823511405586";134;170;110;"Баночка з бамбуковою кришкою, 800 мл, боросилікатне скло  Скло бамбук  КОД:  0558  (арт.) 692"
"4823511405616";104;280;190;"Баночка з діамантовою бамбуковою кришкою, 1050 мл  Скло бамбук  КОД:  0561  (арт.) 7293"
"4823511405609";94;230;155;"Баночка з діамантовою бамбуковою кришкою, 550 мл  Скло бамбук  КОД:  0560  (арт.) 7164"
"4821746505071";196;300;200;"Блендер для смузі акумуляторний  РЕТ пластик  КОД:  0507  (арт.)"
"4825020803426";45;260;200;"Бокс для зберігання косметичного приладдя  код. 0342 (арт. Q35-QY7160)"
"4820341804510";136;320;230;"Вакуумна емність для холодильника з ручкою  РЕТ пластик  КОД:  0451  (арт.) F314-027"
"4820341804534";305;150;100;"Вакуумний насос  РЕТ пластик  КОД:  0453  (арт.) 21"
"4820661605231";108;300;230;"Велика кругла чашка, олень що тягне візок  кераміка,  КОД: 0523  (арт.) LC001/ 209"
"4825020806236";48;400;240;"Великий кошик для зберігання дрібних речей  PET пластик,  КОД: 0623  (арт.) 3360"
"4825020806175";74;400;290;"Великий плетений кошик для зберігання з кришкою, 36,5*26*24  PET пластик,  КОД: 0617  (арт.) 3321"
"4820661605255";72;370;290;"Витончена кавова чашка з блюдцем, лижний ведмідь  кераміка,  КОД: 0525  (арт.) LC014/ 206"
"4820661605224";108;250;190;"Воронкоподібна чаша: олень, що тягне візок  кераміка,  КОД: 0522  (арт.) LC008-1/ 209"
"4823511405593";95;180;120;"Герметична баночка з бамбуковою кришкою, 1000 мл, боросилікатне скло  Скло бамбук  КОД:  0559  (арт.) 691"
"4825020804089";206;165;90;"Герметичний контейнер квадратний 10*10  код. 0408 (арт. B35-302  PET)"
"4825020804072";146;240;130;"Герметичний контейнер квадратний 13*13  код. 0407 (арт. B35-301  PET)"
"4825020804065";78;340;185;"Герметичний контейнер квадратний 16*16  код. 0406 (арт. B35-300  PET)"
"4825020804096";328;120;65;"Герметичний контейнер квадратний 8*8  код. 0409 (арт. B35-303  PET)"
"4825020804126";223;150;80;"Герметичний контейнер круглий 10*10  код. 0412 (арт. B35-292  PET)"
"4825020804119";163;230;125;"Герметичний контейнер круглий 13*13  код. 0411 (арт. B35-291  PET)"
"4825020804102";91;310;170;"Герметичний контейнер круглий 16*16  код. 0410 (арт. B35-290  PET)"
"4820661605279";72;700;550;"Глечики для молока: Лісовий сніговик  кераміка,  КОД: 0527  (арт.) LC019-1/218"
"4825020804249";287;40;22;"Горщик для зберігання квадратний  10*10  код. 0424 (арт. 806)"
"4825020804232";300;40;22;"Горщик для зберігання круглий 10*10  код. 0423 (арт. 805)"
"4825020804256";253;80;47;"Горщик для зберігання прямокутний   20*15  код. 0425 (арт. 807)"
"4825020804263";243;88;50;"Горщик для зберігання прямокутний   25*12  код. 0426 (арт. 808)"
"4825020804270";114;160;95;"Горщик для зберігання прямокутний   30*15  код. 0427 (арт. 609)"
"4825020804287";77;250;135;"Горщик для зберігання прямокутний   33*26  код. 0428 (арт. 809)"
"482502080601";89;450;300;"Дворівнева полиця  пластик метал,  КОД: 0601  (арт.) AS"
"4825020803563";4;5500;4050;"Двоярусна шафка для зберігання  код. 0356 (арт. 9010-1+2)"
"4825020803754";33;1500;1000;"Диспенсер для круп 6 конт. Прямокутний  код. 0375 (арт. 3330)"
"4825020803457";7;1150;855;"Диспенсер для крупи   код. 0345 (арт. X78-8041PET)"
"4825020803464";20;1150;715;"Диспенсер для крупи   код. 0346 (арт. X78-8040PET)"
"4825020803273";50;180;160;"Диспенсер для рідин  код. 0327 (арт. S44-S2308585)"
"4820341804541";7;1300;750;"Діспенсер для круп на 6 кг  РЕТ пластик  КОД:  0454  (арт.) 22"
"4825020803310";4;240;180;"Діспенсер для рідин зі щіткою   код. 0331 (арт. S44-S2308583)"
"482502080578";530;120;50;"Дренажний резервуар  PET пластик,  КОД: 0578  (арт.) AS-PET"
"4821615504648";42;280;170;"Ємність для зберігання герметична
1,1 л  РЕТ пластик  КОД:  0464  (арт.) 705-6643"
"4821615504655";66;350;205;"Ємність для зберігання герметична
1,8 л  РЕТ пластик  КОД:  0465  (арт.) 705-6644"
"4821615504662";19;400;250;"Ємність для зберігання герметична
2,3 л  РЕТ пластик  КОД:  0466  (арт.) 705-6645"
"4823511405524";212;320;210;"Ємність для приправ 19,5*10 см  Скло бамбук  КОД:  0552  (арт.) 2401"
"4823511405517";66;380;250;"Ємність для приправ 29*10 см  Скло бамбук  КОД:  0551  (арт.) 2400"
"4823538905045";31;680;450;"Ємність скляна з корковою пробкою (3 шт.)  Скло  КОД:  0504  (арт.)"
"4823538905052";34;880;590;"Ємність скляна з корковою пробкою (4 шт.)  Скло  КОД:  0505  (арт.)"
"4821615504594";212;280;170;"Квадратна вакуумна коробка
1,2 л бежева  РЕТ пластик  КОД:  0459  (арт.) 630-8808"
"4821615504600";206;310;190;"Квадратна вакуумна коробка
1,6 л бежева  РЕТ пластик  КОД:  0460  (арт.) 630-8809"
"4821615504617";98;390;240;"Квадратна вакуумна коробка
2,8 л бежева  РЕТ пластик  КОД:  0461  (арт.) 630-8810"
"4821615504693";223;340;200;"Квадратна герметична банка
1 л  РЕТ пластик  КОД:  0469  (арт.) 672-0666"
"4821615504686";342;270;165;"Квадратна герметична банка
300 мл  РЕТ пластик  КОД:  0468  (арт.) 672-0665"
"4820661605316";36;700;540;"Квадратний горщик: вінтажна смужка  кераміка,  КОД: 0531  (арт.) LC020/203"
"4820341804459";19;200;130;"Квадратний настільний кошик для сміття  Пластик  КОД:  0445  (арт.) F264-TG3720"
"4825033104916";481;150;80;"Килимок 38*58    КОД:  0491  (арт.)"
"4825033104923";36;380;220;"Килимок 38*58+38*118    КОД:  0492  (арт.)"
"4825033104930";153;380;220;"Килимок 38*58+38*118    КОД:  0493  (арт.)"
"4825033104947";279;600;370;"Килимок 48*78+48*148    КОД:  0494  (арт.)"
"4825033104954";50;600;370;"Килимок 48*78+48*148    КОД:  0495  (арт.)"
"4825020803761";79;230;140;"Кліпси для білизни + корзинка  код. 0376 (арт. 887FBB24)"
"4825020804317";43;500;450;"Контейнер для брудної білизни 40 л.  код. 0431 (арт. 901)"
"4825020804324";23;600;560;"Контейнер для брудної білизни 45 л.  код. 0432 (арт. 902)"
"4825020801576";37;240;160;"Контейнер для зберігання   код. 0157 (арт. 2212)"
"4825020801613";23;350;280;"Контейнер для зберігання   код. 0161 (арт. 2216)"
"4825020803358";23;445;330;"Контейнер для зберігання   код. 0335 (арт. W51-WS101)"
